TH,0.0355620339
HE,0.0307474124
IN,0.0243274529
ER,0.0204826481
AN,0.0198515108
RE,0.0185432319
ON,0.0175804642
AT,0.014867323
EN,0.0145424846
ND,0.0135228145
TI,0.0134257882
ES,0.0133939375
OR,0.0127653906
TE,0.0120486963
OF,0.0117497528
ED,0.0116812337
IS,0.0112842988
IT,0.0112327374
AL,0.0108744953
AR,0.0107489847
ST,0.0105347566
TO,0.0104126653
NT,0.0104125115
NG,0.0095301484
SE,0.0093211458
HA,0.0092576356
AS,0.0087109507
OU,0.0087000232
IO,0.0083493185
LE,0.0082925423
VE,0.0082528057
CO,0.0079385972
ME,0.0079300649
DE,0.0076481839
HI,0.0076324181
RI,0.0072761887
RO,0.0072672444
IC,0.0069870749
NE,0.0069172227
EA,0.0068816529
RA,0.0068563303
CE,0.0065141736
LI,0.0062435218
CH,0.0059776598
LL,0.0057657108
BE,0.0057628372
MA,0.0056526935
SI,0.0055005724
OM,0.0054625689
UR,0.0054274778
CA,0.005381641
EL,0.0053030156
TA,0.0052988607
LA,0.0052752944
NS,0.0050893745
DI,0.004929664
FO,0.0048775357
HO,0.0048490207
PE,0.0047798919
EC,0.0047728272
PR,0.0047447092
NO,0.0046457496
CT,0.0046097176
US,0.0045425706
AC,0.004477722
OT,0.004421033
IL,0.0043153462
TR,0.0042582018
LY,0.0042501352
NC,0.0041574584
ET,0.0041260824
UT,0.0040515127
SS,0.0040507521
SO,0.0039773216
RS,0.0039652728
UN,0.0039441305
LO,0.003868842
WA,0.0038533708
GE,0.0038518951
IE,0.0038464639
WH,0.0037879343
EE,0.0037760541
WI,0.003744207
EM,0.0037366364
AD,0.0036795642
OL,0.0036549265
RT,0.0036167641
PO,0.0036137318
WE,0.0036089923
NA,0.0034723497
UL,0.0034582949
NI,0.0033921248
TS,0.0033748821
MO,0.0033687762
OW,0.0033047804
PA,0.0032357247
IM,0.0031775995
MI,0.0031769137
AI,0.0031644775
SH,0.0031524
IR,0.003151724
SU,0.0031117653
ID,0.0029550391
OS,0.0028996677
IV,0.0028784822
IA,0.0028628243
AM,0.0028486597
FI,0.0028458563
CI,0.002814848
VI,0.0026954435
PL,0.0026298708
IG,0.0025496138
TU,0.0025490672
EV,0.0025478372
LD,0.0025260638
RY,0.0024774012
MP,0.0023917523
FE,0.002365732
BL,0.0023340017
AB,0.0022978642
GH,0.0022750336
TY,0.002272771
OP,0.0022391105
WO,0.0022175431
SA,0.0021801745
AY,0.0021736084
EX,0.0021404459
KE,0.0021376797
FR,0.0021318861
OO,0.0021025922
AV,0.0020493265
AG,0.0020472491
IF,0.0020325652
AP,0.0020284591
GR,0.0019677787
OD,0.0019544943
BO,0.0019541053
SP,0.0019125422
RD,0.0018931638
DO,0.0018823497
UC,0.0018765226
BU,0.0018494419
EI,0.0018335165
OV,0.0017808654
BY,0.0017646843
RM,0.0017513292
EP,0.0017157374
TT,0.001706833
OC,0.0016640509
FA,0.0016399979
EF,0.0016273212
CU,0.0016261398
RN,0.0016036105
SC,0.0015474938
GI,0.0015163656
DA,0.0015106736
YO,0.0014990161
CR,0.0014945583
CL,0.0014901135
DU,0.0014846077
GA,0.0014807707
QU,0.0014754133
UE,0.0014748035
FF,0.0014631658
BA,0.0014620446
EY,0.0014374573
